Identifier,Remarks,en enu eng enc ena enz eni ens enj enb enl ent enw,default,de,es,ru,ptb pt br,it,tr trk,fr,cs,pl plk
INFO3GTITLE,,,\cCOCCULT ORBS,\cCOKKULTE SPHÄREN,\cCORBES OCULTOS,\cCОККУЛЬТНЫЕ СФЕРЫ,\cCORBS OCULTOS,\cCSFERE OCCULTE,\cCGİZLİ KÜRELER,\cCORBES OCCULTES,\cCOKULTNÍ ORBY,\cCOKULTYSTYCZNE KULE
INFO3G,,,Little is known about these remains of supernatural powers.,Nur wenig ist über diese übernatürlichen Überbleibsel bekannt.,Poco se sabe de estos vestigios de poderes sobrenaturales.,Об этих остатках сверхъестественных сил известно немногое.,Pouco se sabe sobre esses vestígios de poderes sobrenaturais.,Si sa poco di queste oggetti arcani dai poteri sovrannaturali.,Doğaüstü güçlere sahip bu kalıntılar hakkında çok az şey biliniyor.,On n'en sait pas beaucoup sur ces reliques aux pouvoirs surnaturels.,Jen málo je známo o těchhle pozůstatcích nadpřirozených sil.,Niewiele wiadomo o tych pozostałościach nadprzyrodzonych mocy.
INFO3HTITLE,,,\cCCOMPASS,\cCKOMPASS,\cCBRÚJULA,\cCКОМПАС,\cCBÚSSOLA,\cCBUSSOLA,\cCPUSULA,\cCBOUSSOLE,\cCKOMPAS,\cCKOMPAS
INFO3H,,,"If you feel disoriented, your compass will point you in the right direction.","Falls du dich verloren fühlst, führt dich der Kompass in die richtige Richtung.","Si te sientes desorientado, la brújula le indicará la dirección correcta.","Если Вы чувствуете, что потерялись, компас направит Вас, куда нужно.","Se você se sentir desorientado, sua bússola apontará a direção correta.","Se ti senti disorientato, la tua bussola ti  indicherà la giusta direzione.","Yönünüzü şaşırırsanız, pusulanız sizi doğru yöne yönlendirecektir.",Vous êtes du genre à vous perdre? La boussole vous indiquera la bonne direction.,"Jestli se budeš cítit dezorientovaný, tvůj kompas tě navede na správnou cestu.","Jeśli czujesz się zdezorientowany, kompas wskaże Ci właściwy kierunek."
INFO3ITITLE,,,\cCCLOTHES,\cCKLEIDUNG,\cCROPA,\cCОДЕЖДА,\cCROUPAS,\cCVESTITI,\cCKIYAFETLER,\cCVÊTEMENTS,\cCPŘESTROJENÍ,\cCUBRANIE
INFO3I,,,The right dresscode for every possible disguise.,Die passende Kleidung für jede denkbare Verkleidung.,El código de vestimenta adecuado para cada disfraz posible.,Подходящий дресс-код для маскировки под кого угодно.,O traje ideal para cada disfarce possível.,Il giusto abbigliamento per ogni possibile travestimento.,Her türlü kılık değiştirme için doğru kıyafet kuralı.,L'option de se déguiser se présentera sous plusieurs choix de code vestimentaire.,Ten správný dresscode pro každé možné přestrojení.,Odpowiedni dress code dla każdego możliwego przebrania.
INFO4ATITLE,,,"\cCCPT. WILLIAM ""B.J."" BLAZKOWICZ","\cCCPT. WILLIAM ""B.J."" BLAZKOWICZ","\cCCPT. WILLIAM ""B.J."" BLAZKOWICZ","\cCКАПИТАН УИЛЬЯМ ""БИ-ДЖЕЙ"" БЛАЖКОВИЧ","\cCCPT. WILLIAM ""B.J."" BLAZKOWICZ","\cCCPT. WILLIAM ""B.J."" BLAZKOWICZ","\cCKAPTAN WILLIAM ""B.J."" BLAZKOWICZ","\cCCAPT. WILLIAM ""B.J."" BLAZKOWICZ","\cCCPT. WILLIAM ""B.J."" BLAZKOWICZ",\cCKPT. WILLIAM ”B.J.” BLAZKOWICZ
INFO4A,,,"You are our hero, the greatest spy and bravest risk-taker the Allied forces have ever known. \n\nYou'll take on the fearsome Nazi regime as you blast your way to victory. If you can survive the might and fury of the Third Reich, you may do battle with the diabolical Adolf Hitler himself, who is twisting science with the occult in his pathological mission to conquer the world! \n\nThe fate of all free nations hangs in the balance — failure is not an option.","Du bist unser Held, der größte Spion und waghalsigste Draufgänger, den die alliierten Streitkräfte je gesehen haben. \n\nDu nimmst es mit dem furchterregenden Nazi-Regime auf und bahnst dir den Weg zum Sieg. Wenn du Macht und Zorn des Dritten Reiches überlebst, stellst du dich vielleicht Adolf Hitler selbst, der in seinem krankhaften Wahn, die Welt zu erobern, Wissenschaft und Okkultismus miteinander verwebt.\n\nDas Schicksal aller freien Nationen steht auf dem Spiel — Versagen ist keine Option.","Eres nuestro héroe, el mayor espía y el más valiente aventurero que hayan conocido las fuerzas aliadas.\n\nTe enfrentarás al temible régimen nazi mientras te abres camino hacia la victoria. Si puedes sobrevivir al poder y la furia del Tercer Reich, puedes luchar contra el diabólico Adolf Hitler, ¡que está combinando la ciencia con el ocultismo en su patológica misión de conquistar el mundo!\n\nEl destino de todas las naciones libres está en juego — el fracaso no es una opción.","Вы наш герой, величайший разведчик и храбрейший солдат, которого только знали в войсках союзников.\n\nВы будете бороться с грозным нацистским режимом, прокладывая дорогу к победе. Если Вам удастся пережить могущество и ярость Третьего Рейха, возможно, Вам доведётся сразиться и с самим дьявольским порождением, Адольфом Гитлером, сплетающим науку с оккультизмом в рамках своей патологической миссии по захвату мира!\n\nСудьба всех свободных народов висит на волоске — у Вас нет права на ошибку.","Você é o nosso herói, o maior espião e o mais corajoso aventureiro que as forças aliadas já conheceram. \n\nVocê enfrentará o temível regime nazista enquanto abre caminho para a vitória. Se conseguir sobreviver ao poder e à fúria do Terceiro Reich, poderá lutar contra o próprio Adolf Hitler, que está distorcendo a ciência com o ocultismo em sua missão patológica de conquistar o mundo! \n\nO destino de todas as nações livres está em jogo — o fracasso não é uma opção.","Tu sei il nostro eroe, la più grande e coraggiosa spia che le forze Alleate abbiano mai conosciuto.\n\nAffronterai il temibile regime Nazista mentre ti farai strada verso la vittoria. Se riesci a sopravvivere alla forza ed alla furia del Terzo Reich, potresti combattere contro lo stesso diabolico Adolf Hitler, che sta unendo la scienza con l'occulto nella sua malata missione di conquista del mondo!\n\nIl destino di tutte le nazioni libere è in bilico — il fallimento non è un opzione.","Sen bizim kahramanımızsın, Müttefik kuvvetlerinin şimdiye kadar tanıdığı en büyük casus ve en cesur risk alıcısın. \n\nZafer yolunda ilerlerken korkunç Nazi rejimine karşı savaşacaksın. Üçüncü Reich'ın kudretine ve öfkesine dayanabilirsen, dünyayı fethetme sapkın misyonunda bilimi okültle harmanlayan şeytani Adolf Hitler'in kendisiyle savaşabilirsin! \n\nTüm özgür ulusların kaderi dengede duruyor - başarısızlık bir seçenek değil.","Capitaine William Blazkowicz, dit ""B.J."", vous êtes le héros de cette histoire, un soldat américain, mais aussi le meilleur espion et le plus courageux des combattants de toutes les forces alliées. \n\nVous affronterez les redoutables Nazis au centre d'une aventure explosive. Si vous réussissez à résister à la force et à la colère du Troisième Reich, vous pourriez avoir à combattre le diabolique Adolf Hitler en personne, qui mélange la science et l'occulte pour ses projets malades de conquête mondiale! \n\nLe destin de toutes les nations libres est entre vos mains — un échec serait tout simplement inacceptable.","Ty jsi náš hrdina, nejlepší špion a nejstatečnější voják, kterého Spojenecká vojska kdy znala. \n\nBudeš bojovat s hrůzostrašným Nacistickým režimem, jak si budeš razit cestu k vítězství. Jestli přežiješ moc a zuřivost Třetí říše, můžeš si to rozdat se samotným a ďábelským Adolfem Hitlerem, který proplétá vědu s okultismem v jeho patologické misi o podmanění si světa! \n\nOsud všech svobodných národů visí na vlásku — selhání nepřichází v úvahu.","Jesteś naszym bohaterem, największym szpiegiem i najodważniejszym ryzykantem, jakiego znały siły alianckie.\n\nZatrzymasz się z przerażającym reżimem nazistowskim, torując sobie drogę do zwycięstwa. Jeśli zdołasz przetrwać potęgę i furię Trzeciej Rzeszy, możesz walczyć z samym diabolicznym Adolfem Hitlerem, który wypacza naukę z okultyzmem w swojej patologicznej misji podboju świata! \n\nLos wszystkich wolnych narodów wisi na włosku - porażka nie wchodzi w grę."
INFO4BTITLE,,,"\cCCPT. ""DIRTY"" DOUGLAS BLAKE","\cCCPT. ""DIRTY"" DOUGLAS BLAKE","\cCCPT. DOUGLAS BLAKE ""EL SUCIO""","\cCКАПИТАН ""ГРЯЗНЫЙ"" ДУГЛАС БЛЕЙК","\cCCPT. ""DIRTY"" DOUGLAS BLAKE","\cCCPT. ""DIRTY"" DOUGLAS BLAKE","\cCKAPTAN ""KİRLİ"" DOUGLAS BLAKE","\cCCAPT. ""DIRTY"" DOUGLAS BLAKE","\cCCPT. ""DIRTY"" DOUGLAS BLAKE","\cCCPT. ""DIRTY"" DOUGLAS BLAKE"
INFO4B,,,"Your sidekick, and the most reliable comrade you've ever had. Together, you've shared many adventures and survived many missions (some narrowly!). \n\nDirty Douglas has many years of service on his record, and he's earned the respect and admiration of his inferiors and superiors alike. \n\nHe will provide information and support during your missions, guiding you through tricky situations.","Partner und der treueste Kamerad, den du je hattest. Zusammen habt ihr bereits viele Abenteuer bestritten und unzählige Missionen überlebt (manche davon nur knapp!). \n\nDirty Douglas hat bereits eine Menge Dienstjahre geleistet und sich den Respekt sowie die Anerkennung von Untergebenen wie auch Vorgesetzten verdient. \n\nAuf deinen Missionen wird er dir mit Rat und Tat zur Seite stehen, um dich durch brenzlige Situationen zu lenken.","Tu compañero y el camarada más confiable que hayas tenido. Juntos, han compartido muchas aventuras y sobrevivido a muchas misiones (¡algunas por poco!).\n\nDouglas, el sucio, tiene muchos años de servicio en su historial y se ha ganado el respeto y la admiración de sus subordinados y superiores por igual.\n\nÉl te brindará información y apoyo durante tus misiones, guiándote a través de situaciones difíciles.","Ваш напарник и самый надёжный приятель. Вместе вы прошли сквозь различные приключения и пережили многие испытания (некоторые из них чудом!)\n\nГрязный Дуглас на службе многие годы, и он заслужил уважение и восторг со стороны начальства и подчинённых.\n\nОн будет обеспечивать Вас информацией на заданиях и помогать Вам находить выход из трудных ситуаций.","Seu parceiro e o camarada mais confiável que você já teve. Juntos, vocês viveram muitas aventuras e sobreviveram a muitas missões (algumas por um triz!). \n\nDirty Douglas tem muitos anos de serviço em seu currículo e conquistou o respeito e a admiração de seus subordinados e superiores. \n\nEle fornecerá informações e apoio durante suas missões, guiando você por situações complicadas.","La tua spalla, e il compagno più affidabile che tu abbia mai avuto. Insieme avete condiviso molte avventure e siete sopravvissuti a tante missioni (spesso per un pelo!).\n\nDirty Douglas ha molti anni di servizio alle spalle, e ha guadagnato il rispetto e l'ammirazione sia dei suoi subalterni che dei suoi superiori. \n\nTi fornirà informazioni e supporto durante le tue missioni, guidandoti nelle situazioni delicate.","En yakın dostunuz ve şimdiye kadar sahip olduğunuz en güvenilir yoldaşınız. Birlikte birçok macera yaşadınız ve birçok görevi (bazılarını kıl payı atlatarak!) başarıyla tamamladınız. \n\nKirli Douglas'ın uzun yıllara dayanan hizmet geçmişi var ve hem astlarının hem de üstlerinin saygı ve hayranlığını kazanmış durumda. \n\nGörevleriniz sırasında size bilgi ve destek sağlayacak, zorlu durumlarda size rehberlik edecektir.","Votre accolyte, votre ami, et le plus fiable des camarades de guerre que vous ayez eu la chance de connaître, vous avez partagé beaucoup d'aventures, et ensemble vous avez survécu (parfois à un cheveu!) à de nombreuses missions. \n\nLe Capitaine Douglas Blake, dit ""Dirty Douglas"", a un paquet d'années d'expérience, il mérite le respect et l'admirationà la fois de ses troupes et de ses supérieurs. \n\nIl vous fournira toute l'information et le soutien nécessaires à vos missions, et vous guidera à travers les situations ardues.","Tvůj pomocník a nejspolehlivější druh, jakého jsi kdy měl. Společně jste sdíleli mnoho dobrodružství a přežili mnoho misí (některé jen tak tak!). \n\nDirty Douglas má dlouhý služební záznam a získal si respekt a obdiv svých podřízených i nadřízených. \n\nPoskytne ti informace a podporu v průběhu tvých misí a povede tě skrze nevypočitatelné situace.","Twój pomocnik i najbardziej niezawodny towarzysz, jakiego kiedykolwiek miałeś. Wspólnie przeżyliście wiele przygód i przeżyliście wiele misji (niektóre bardzo wąskie!). \n\nDirty Douglas ma wieloletnią służbę na swoim koncie i zdobył szacunek i podziw zarówno swoich podwładnych, jak i przełożonych. \n\nUdzieli informacji i wsparcia podczas misji, przeprowadzając cię przez trudne sytuacje."
INFO4CTITLE,,,\cCGENERAL JOHN HERBERT MILLER,\cCGENERAL JOHN HERBERT MILLER,\cCGENERAL JOHN HERBERT MILLER,\cCГЕНЕРАЛ ДЖОН ХЕРБЕРТ МИЛЛЕР,\cCGENERAL JOHN HERBERT MILLER,\cCGENERALE JOHN HERBERT MILLER,\cCGENERAL JOHN HERBERT MILLER,\cCGENERAL JOHN HERBERT MILLER,\cCGEN. JOHN HERBERT MILLER,\cCGENERAL JOHN HERBERT MILLER
INFO4C,,,"As the highest-ranking commander of the Resistance in Great Britain, General John H. Miller oversees a variety of guerilla operations across Europe. \n\nHe's an experienced leader with an outstanding reputation, and he's the top authority at headquarters. He'll brief you before each mission.",Als ranghöchster Befehlshaber des Widerstands in Großbritannien koordiniert General John H. Miller eine Vielzahl von Guerilla-Operationen in ganz Europa.\n\nEr ist ein erfahrener Anführer mit hervorragendem Ruf und die oberste Autorität im Hauptquartier. Vor jedem Einsatz weist er dich persönlich ein.,"Como el comandante de mayor rango de la Resistencia en Gran Bretaña, el general John H. Miller supervisa una variedad de operaciones de guerrilla en Europa.\n\nEs un líder experimentado con una reputación sobresaliente y es la máxima autoridad en el cuartel. Él te informará antes de cada misión.",Генерал Джон Х. Миллер как самый старший по званию командир британского Сопротивления руководит рядом партизанских операций по всей Европе.\n\nЭто опытный военачальник с безупречной репутацией; власть в штабе принадлежит именно ему. Он будет инструктировать Вас перед каждым заданием.,"Como comandante de mais alta patente da Resistência na Grã-Bretanha, o General John H. Miller supervisiona uma variedade de operações de guerrilha por toda a Europa. Ele é um líder experiente com uma reputação excepcional e a principal autoridade no quartel-general. Ele lhe dará instruções antes de cada missão.","Come comandate di grado maggiore della Resistenza in Gran Bretagna, il Generale John H. Miller supervisiona diverse operazioni di guerriglia in tutta Europa. \n\nÈ un leader esperto con una reputazione eccezionale, ed è l'autorità suprema al quartier generale. Ti informerà prima di ogni missione.","Büyük Britanya'daki Direniş'in en yüksek rütbeli komutanı olan General John H. Miller, Avrupa genelinde çeşitli gerilla operasyonlarını denetliyor. \n\nOlağanüstü bir üne sahip deneyimli bir lider ve karargâhtaki en üst yetkili kişi. Her görevden önce size brifing verecek.","En tant que commandant le plus haut placé de la résistance en Grande Bretagne, le Général John H. Miller supervise tout un ensemble d'opérations de guérilla à travers l'Europe. \n\nC'est un leader à la réputation impeccable, et c'est lui qui a l'autorité suprême dans notre quartier général. Il vous briefera avant chaque mission.",Jako nejvyšší velitel Hnutí odporu ve Velké Británii generál John H. Miller dohlíží na různé partyzánské operace v Evropě. \n\nJe to zkušený vůdce s vynikající reputací a zároveň je to nejvyšší autorita na Velitelství. Před každou misí tě bude instruovat.,"Jako najwyższy rangą dowódca ruchu oporu w Wielkiej Brytanii, generał John H. Miller nadzoruje różnorodne operacje partyzanckie w całej Europie. \n\nJest doświadczonym liderem o znakomitej reputacji i najwyższym autorytetem w centrali. Poinformuje cię o każdej misji."
INFO4DTITLE,,,\cCCPT. JAMES RYAN (M.I.A.),\cCCPT. JAMES RYAN (M.I.A.),\cCCPT. JAMES RYAN (D.E.A.),\cCКАПИТАН ДЖЕЙМС РАЙАН (ПРОПАЛ БЕЗ ВЕСТИ),\cCCPT. JAMES RYAN (Desaparecido em Combate),\cCCPT. JAMES RYAN (M.I.A),Yüzbaşı James Ryan (Kayıp),\cCCAPT. JAMES RYAN\n(PORTÉ DISPARU),\cCCPT. JAMES RYAN (M.I.A.),\cCCPT. JAMES RYAN (M.I.A.)
INFO4D,,,"Your former superior and comrade. Cpt. James Ryan was one of the greatest spies in the war, completing difficult missions and returning with information that only he seemed to be able to uncover.\n\nUnfortunately, he's been missing in action for several months, ever since an operation in Poland from which he didn't return. \n\nHis whereabouts, dead or alive, are unknown.","Dein ehemaliger Vorgesetzter und Kamerad. Cpt. James Ryan war einer der größten Spione des Krieges: Er erfüllte schwierige Aufträge und kehrte mit Informationen zurück, die offenbar nur er beschaffen konnte.\n\nLeider gilt er seit mehreren Monaten als vermisst, seit er von einer Operation in Polen nicht zurückkehrte.\n\nSein Aufenthaltsort, tot oder lebendig, ist unbekannt.","Tu ex superior y camarada. Cpt. James Ryan fue uno de los mejores espías de la guerra, completó misiones difíciles y regresó con información que solo él parecía ser capaz de descubrir.\n\nDesafortunadamente, ha estado desaparecido en acción durante varios meses, desde una operación en Polonia de la que no regresó.\n\nSe desconoce su paradero, vivo o muerto.","Ваш бывший начальник и товарищ. К-н Джеймс Райан был одним из величайших разведчиков этой войны, выполнявшим трудные задания и возвращавшимся с информацией, которую, казалось, был способен добыть только он.\n\nК сожалению, несколько месяцев назад он пропал без вести во время операции в Польше.\n\nЖив он сейчас или мёртв, неизвестно.","Seu antigo superior e camarada. O Capitão James Ryan foi um dos maiores espiões da guerra, completando missões difíceis e retornando com informações que só ele parecia ser capaz de descobrir.\n\nInfelizmente, ele está desaparecido em ação há vários meses, desde uma operação na Polônia da qual não retornou.\n\nSeu paradeiro, vivo ou morto, é desconhecido.","Il tuo ex superiore e compagno. Il Cpt. James Ryan era una delle più grandi spie di guerra, portava a termine missioni difficili e tornava con informazioni che solo lui sembrava essere in grado di scoprire.\n\nSfortunatamente, è scomparso da alcuni mesi, sin dall'operazione in Polonia dalla quale non fece ritorno.\n\nDove si trovi, vivo o morto, è ignoto.","Eski üstünüz ve yoldaşınız. Yüzbaşı James Ryan, savaşın en büyük casuslarından biriydi; zorlu görevleri tamamlayıp sadece kendisinin ortaya çıkarabileceği bilgilerle geri dönüyordu.\n\nNe yazık ki, Polonya'daki bir operasyondan geri dönmediğinden beri birkaç aydır kayıp.\n\nÖlü ya da diri nerede olduğu bilinmiyor.","Votre ancien supérieur, et camarade de guerre. Le Capitaine James Ryan était un des espions les plus doués de cette guerre. Il a accompli avec succès plusieurs missions délicates, et nous a ramené des renseignements comme seul lui savait en dénicher.\n\nMalheureusement, nous sommes sans nouvelles depuis plusieurs mois. Il est officiellement porté disparu depuis une opération en Pologne dont il n'est jamais revenu. \n\nNous n'avons aucune information sur son sort, sur où il pourrait être, ou même s'il est encore en vie.","Tvůj bývalý nadřízený a druh Cpt. James Ryan byl jedním z nejlepších špionů války. Úspěšně dokončoval těžké mise a vracel se s informacemi, které se zdály, že jedině on dokáže odhalit.\n\nNaneštěstí je nezvěstný v boji již po několik měsíců od operace v Polsku, ze které se nevrátil. \n\nKde se nachází, živ či mrtev, není známo.","Twój były przełożony i towarzysz. Kpt. James Ryan był jednym z największych szpiegów wojny, wykonując trudne misje i wracając z informacjami, które tylko on zdawał się być w stanie odkryć, \n\nniestety zaginął w akcji od kilku miesięcy, od czasu operacji w Polsce, której nie wrócę. \n\nJego miejsce pobytu, martwe lub żywe, jest nieznane."
INFO4ETITLE,,,\cCSGT. DEAN ASCHER,\cCSGT. DEAN ASCHER,\cCSGT. DEAN ASCHER,\cCСЕРЖАНТ ДИН АШЕР,\cCSargento Dean Ascher,\cCSGT. DEAN ASCHER,ÇAVUŞ DEAN ASCHER,\cCSGT. DEAN ASCHER,\cCSGT. DEAN ASCHER,\cCSGT. DEAN ASCHER
INFO4E,,,"Sgt. Dean Ascher is a reliable and faithful comrade, and therefore the perfect choice to be General Miller's right hand man. \n\nHis experience and talent for planning has not only been proven on the battlefields of Europe, but also in the beds of many nurses, hairdressers, secretaries and other female employees. \n\nHe's a ladies' man, no matter where the girls come from - which may not always be a good thing.","Sgt. Dean Ascher ist ein zuverlässiger und loyaler Kamerad und deshalb die perfekte Wahl als rechte Hand von General Miller.\n\nSeine Erfahrung und sein Planungstalent hat er nicht nur auf den Schlachtfeldern Europas bewiesen, sondern auch in den Betten zahlreicher Krankenschwestern, Friseusen, Sekretärinnen und anderer Mitarbeiterinnen.\n\nEr ist ein Frauenheld, ganz gleich, woher die Frauen kommen - was nicht immer eine gute Sache sein muss.","El Sgt. Dean Ascher es un camarada confiable y fiel y, por lo tanto, la elección perfecta para ser la mano derecha del general Miller.\n\nSu experiencia y talento para la planificación no solo se ha demostrado en los campos de batalla de Europa, sino también en las camas de muchas enfermeras, peluqueras, secretarias y otras empleadas.\n\nEs un mujeriego, no importa de dónde vengan las chicas - lo que no siempre es bueno.","С-т Дин Ашер — надёжный и честный товарищ, в самый раз подошедший на должность адъютанта генерала Миллера.\n\nСвой опыт и навыки стратегического планирования он проявил не только на полях битвы в Европе, но и в постелях многих медсестёр, парикмахерш и секретарш.\n\nОн ловелас, не очень-то всматривающийся в женщин, и это не всегда обходится ему без последствий.","O Sargento Dean Ascher é um camarada confiável e leal, sendo, portanto, a escolha perfeita para ser o braço direito do General Miller. \n\nSua experiência e talento para planejamento foram comprovados não apenas nos campos de batalha da Europa, mas também nas camas de muitas enfermeiras, cabeleireiras, secretárias e outras funcionárias. \n\nEle é um conquistador, não importa de onde as garotas venham – o que nem sempre é uma coisa boa.","Il Sgt. Dean Ascher è un affidabile e fedele compagno, e pertanto la scelta perfetta per essere il braccio destro del Generale Miller.\n\nLa sua esperienza e talento nella pianificazione non sono state dimostrate solo nei campi di battaglia d'Europa, ma anche nei letti di molte infermiere, parrucchiere, segretarie ed altre impiegate. \n\nÈ un donnaiolo, e non gli importa da dove provengano - il che potrebbe non essere sempre una buona cosa.","Çavuş Dean Ascher, güvenilir ve sadık bir yoldaştır ve bu nedenle General Miller'ın sağ kolu olmak için mükemmel bir seçimdir. Deneyimi ve planlama yeteneği sadece Avrupa savaş alanlarında değil, birçok hemşire, kuaför, sekreter ve diğer kadın çalışanın yataklarında da kanıtlanmıştır. Kadınların nereden geldiğine bakılmaksızın, o bir kadın düşkünüdür - ki bu her zaman iyi bir şey olmayabilir.","Le Sergent Dean Ascher est un soldat fiable et fidèle, et c'est pourquoi il était le choix parfait pour être le bras droit du Général Miller. \n\nSon expérience et ses compétences pour la planification et la stratégie ont été prouvées maintes fois au milieu des champs de bataille en Europe, mais aussi dans la chambre à coucher avec beaucoup d'infirmière, coiffeuses, secrétaires, et même quelques employées. \n\nClairement, c'est un homme qui aime les femmes, peu importe la citoyenneté - ce qui pourrait finir par causer des problèmes.","Sgt. Dean Ascher je spolehlivý a věrný druh, a proto perfektní volba pro pravou ruku generála Millera. \n\nJeho zkušenosti a talent pro plánování byly prokázány nejenom na bojištích Evropy, ale také v postelích mnoha sestřiček, kadeřnic, sekretářek a jiných ženských zaměstnankyň. \n\nJe to dobyvatel ženských srdcí, jedno odkud jsou — což je ne vždy dobrá věc.","Sgt. Dean Ascher to niezawodny i wierny towarzysz, a zatem doskonały wybór na prawą rękę generała Millera. \n\nJego doświadczenie i talent do planowania sprawdziły się nie tylko na polach bitew Europy, ale także w łóżkach wielu pielęgniarek, fryzjerów, sekretarek i innych pracownic. \n\nJest kobieciarzem, bez względu na to, skąd pochodzą dziewczyny - co nie zawsze może być dobrą rzeczą."
INFO4FTITLE,,,\cCPROF. KLAUS GUTENBERG,\cCPROF. KLAUS GUTENBERG,\cCPROF. KLAUS GUTENBERG,\cCПРОФЕССОР КЛАУС ГУТЕНБЕРГ,\cCPROF. KLAUS GUTENBERG,\cCPROF. KLAUS GUTENBERG,PROFESÖR KLAUS GUTENBERG,\cCPROF. KLAUS GUTENBERG,\cCPROF. KLAUS GUTENBERG,\cCPROF. KLAUS GUTENBERG
